cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
8514	S1016	1	no matches		no matches		no matches		no matches		no matches		no matches	
8515	S1017	1	no matches		no matches		no matches		no matches		no matches		no matches	
8523	S1018	1	no matches		no matches		no matches		no matches		no matches		no matches	
8524	S1019	1	no matches		no matches		no matches		no matches		no matches		no matches	
8530	4	2	Organic compounds	0.5	Lipids and lipid-like molecules	0.5	Fatty Acyls	0.5	Fatty acyl glycosides	0.5	Fatty acyl glycosides of mono- and disaccharides	0.5	Aliphatic heteromonocyclic compounds	0.5
8552	4	2	Organic compounds	0.5	Lipids and lipid-like molecules	0.5	Fatty Acyls	0.5	Fatty acyl glycosides	0.5	Fatty acyl glycosides of mono- and disaccharides	0.5	Aliphatic heteromonocyclic compounds	0.5
8536	S1020	1	no matches		no matches		no matches		no matches		no matches		no matches	
8537	S1021	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8553	S1022	1	no matches		no matches		no matches		no matches		no matches		no matches	
8554	113	2	Organic compounds	0.5	Organic acids and derivatives	0.25	Peptidomimetics	0.25	Depsipeptides	0.25	Cyclic depsipeptides	0.25	Aromatic heteropolycyclic compounds	0.25
8570	113	2	Organic compounds	0.5	Organic acids and derivatives	0.25	Peptidomimetics	0.25	Depsipeptides	0.25	Cyclic depsipeptides	0.25	Aromatic heteropolycyclic compounds	0.25
8556	S1023	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aromatic heteropolycyclic compounds	1.0
8558	S1024	1	no matches		no matches		no matches		no matches		no matches		no matches	
8567	S1025	1	no matches		no matches		no matches		no matches		no matches		no matches	
8569	S1026	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	0.5	Amino acids, peptides, and analogues	0.5	Oligopeptides	0.5	Aromatic heteropolycyclic compounds	1.0
8571	S1027	1	no matches		no matches		no matches		no matches		no matches		no matches	
8573	22	2	Organic compounds	0.5	Lipids and lipid-like molecules	0.5	Glycerolipids	0.5	Glycosylglycerols	0.5	Glycosyldiacylglycerols	0.5	Aliphatic heteromonocyclic compounds	0.5
8770	22	2	Organic compounds	0.5	Lipids and lipid-like molecules	0.5	Glycerolipids	0.5	Glycosylglycerols	0.5	Glycosyldiacylglycerols	0.5	Aliphatic heteromonocyclic compounds	0.5
